work_year;employment_type;job_title;salary;salary_in_usd;employee_residence;company_location;company_size
2020.0;FT;Data SCIENTIST;70000.0;79833;DE;DE;L
2020;FT;Product Data Analyst;20000;20000;HN;HN;S
2020;FT;Data Analyst;72000;72000;US;US;L
2020;FT;Data Scientist;11000000;35735;HU;HU;L
2020;FT;Data Scientist;45000;51321;FR;FR;S
2020;FT;Data Scientist;3000000;40481;IN;IN;L
2020;FT;Data Scientist;35000;39916;FR;FR;M
2020;FT;Data Analyst;85000;85000;US;US;L
2020;FT;Data Analyst;8000;8000;PK;PK;Large
2020;FT;Data Engineer;4450000;41689;JP;JP;S
2020;FT;Product Data Analyst;450000;6072;IN;IN;L
2020;FT;Data Engineer;42000;47899;GR;GR;L
2020;FT;Data Engineer;720000;33511;MX;MX;S
2020;FT;Machine Learning Manager;157000;117104;CA;CA;L
2020;FT;Data Scientist;60000;68428;GR;US;L
2020;FT;Data Analyst;41000;46759;FR;FR;L
2020;FT;Data Engineer;65000;74130;AT;AT;L
2020;FT;Data Analyst;10000;10000;NG;NG;S
2020;FT;Data Scientist;45760;45760;PH;US;S
2020;FT;Data Engineer;106000;106000;US;US;L
2020;FT;Data Engineer;88000;112872;GB;GB;L
2020;FT;Data Scientist;60000;76958;GB;GB;S
2020;FT;Data Engineer;188000;188000;US;US;L
2020;FT;Data Scientist;105000;105000;US;US;L
2020;FT;Data Engineer;61500;70139;FR;FR;L
2020;FT;Data Analyst;450000;6072;IN;IN;S
2020;FT;Data Analyst;91000;91000;US;US;L
2020;FT;Data Engineer;48000;54742;PK;DE;L
2020;FT;Data Scientist;34000;38776;ES;ES;M
2020;FT;Data Scientist;118000;118000;US;US;M
2020;FT;Data Scientist;120000;120000;US;US;L
2020;FT;Data Scientist;138350;138350;US;US;M
2020;FT;Data Engineer;110000;110000;US;US;L
2020;FT;Data Engineer;130800;130800;ES;US;M
2020;PT;Data Scientist;19000;21669;IT;IT;S
2020;FT;Data Scientist;412000;412000;US;US;L
2020;FT;Data Scientist;55000;62726;DE;DE;S
2020;FT;Data Scientist;43200;49268;DE;DE;S
2020;FT;Data Scientist;105000;105000;US;US;S
2020;FT;Data Scientist;80000;91237;AT;AT;S
2020;FT;Data Scientist;55000;62726;FR;LU;S
2020;FT;Data Scientist;37000;42197;FR;FR;S
2021;FT;Data Scientist;45000;53192;FR;FR;L
2021;FT;Data Analyst;80000;80000;US;US;M
2021;FT;Data Analytics Engineer;67000;79197;DE;DE;L
2021;FT;Data Engineer;140000;140000;US;US;L
2021;FT;Data Engineer;110000;28476;PL;PL;L
2021;FT;Data Analyst;50000;59102;FR;FR;M
2021;FT;Data Analytics Engineer;110000;110000;US;US;L
2021;FT;Data Analyst;80000;80000;BG;US;S
2021;FT;Data Scientist;2200000;29751;IN;IN;L
2021;FT;Data Analyst;75000;75000;US;US;L
2021;FT;Data Engineer;150000;150000;US;US;L
2021;FT;Data Analyst;62000;62000;US;US;L
2021;FT;Data Scientist;73000;73000;US;US;L
2021;FT;Data Analyst;37456;51519;GB;GB;L
2021;FT;Data Engineer;115000;115000;US;US;S
2021;FT;Data Engineer;150000;150000;US;US;M
2021;FT;Data Engineer;2250000;30428;IN;IN;L
2021;FT;Data Engineer;38400;45391;NL;NL;L
2021;FT;Data Scientist;50000;50000;NG;NG;L
2021;FT;Data Science Engineer;34000;40189;GR;GR;M
2021;FT;Data Analyst;90000;90000;US;US;S
2021;FT;Data Engineer;200000;200000;US;US;L
2021;FT;Data Analyst;50000;50000;US;US;M
2021;PT;Data Analyst;8760;10354;ES;ES;M
2021;FT;Data Scientist;700000;9466;IN;IN;S
2021;FT;Machine Learning Developer;100000;100000;IQ;IQ;S
2021;FT;Data Scientist;42000;49646;FR;FR;M
2021;FT;Data Scientist;100000;100000;US;US;S
2021;FT;Data Analyst;90000;90000;US;US;M
2021;FT;Data Scientist;80000;80000;US;US;M
2021;FT;Data Analyst;135000;135000;US;US;L
2021;FT;Data Scientist;82500;82500;US;US;S
2021;FT;Data Engineer;100000;100000;US;US;L
2021;FT;Data Engineer;90000;90000;US;US;L
2021;FT;Data Scientist;150000;150000;US;US;M
2021;FT;Data Scientist;95000;75774;CA;CA;L
2021;FT;Data Scientist;13400;13400;UA;UA;L
2021;FT;Data Science Engineer;159500;127221;CA;CA;L
2021;FT;Data Scientist;160000;119059;SG;IL;M
2021;FT;Data Analytics Manager;120000;120000;US;US;M
2021;FT;Head of Data Science;85000;85000;RU;RU;M
2021;FT;Data Engineer;24000;28369;MT;MT;L
2021;FT;Data Engineer;80000;80000;US;US;L
2021;FT;Data Engineer;60000;82528;GB;GB;L
2021;FT;Data Analyst;60000;60000;US;US;S
2021;FT;Data Scientist;58000;2859;MX;MX;S
2021;FT;Data Scientist;30400000;40038;CL;CL;L
2021;FT;Data Scientist;420000;5679;IN;US;S
2021;FT;Data Scientist;76760;90734;DE;DE;L
2021;FT;Data Engineer;22000;26005;RO;US;L
2021;FT;Data Engineer;4000;4000;IR;IR;M
2021;FT;Data Analytics Engineer;50000;50000;VN;GB;M
2021;FT;Data Engineer;65000;76833;RO;GB;S
2021;FT;Data Scientist;147000;147000;US;US;L
2021;FT;Data Scientist;52000;61467;DE;AT;M
2021;FT;Data Scientist;32000;37825;ES;ES;L
2021;FT;Data Scientist;160000;160000;US;US;L
2021;FT;Data Scientist;69600;12901;BR;BR;S
2021;FT;Data Engineer;165000;165000;US;US;M
2021;FL;Data Engineer;20000;20000;IT;US;L
2021;FT;Data Analytics Manager;120000;120000;US;US;L
2021;FT;Data Engineer;48000;66022;HK;GB;S
2021;FT;Data Scientist;76760;90734;DE;DE;L
2021;FT;Data Analytics Manager;140000;140000;US;US;L
2021;FT;Data Scientist;85000;116914;GB;GB;L
2021;FT;Data Scientist;2500000;33808;IN;IN;M
2021;FT;Data Scientist;40900;56256;GB;GB;L
2021;FT;Data Scientist;110000;87738;CA;CA;S
2021;FT;Data Scientist;75000;88654;DE;DE;L
2021;FT;Data Scientist;135000;135000;US;US;L
2021;FT;Data Analyst;90000;71786;CA;CA;M
2021;FT;Data Analyst;200000;200000;US;US;L
2021;FT;Head of Data Science;110000;110000;US;US;S
2021;FT;Data Scientist;39600;46809;ES;ES;M
2021;FT;Data Scientist;4000;4000;VN;VN;M
2021;FT;Data Engineer;1600000;21637;IN;IN;M
2021;FT;Data Scientist;130000;103691;CA;CA;L
2021;FT;Data Analyst;80000;80000;US;US;L
2021;FT;Data Engineer;110000;110000;US;US;L
2021;FT;Data Scientist;165000;165000;US;US;L
2021;FT;Data Engineer;52500;72212;GB;GB;L
2021;FT;Data Scientist;31000;36643;FR;FR;L
2021;FT;Data Engineer;108000;12103;TR;TR;M
2021;FT;Data Engineer;70000;96282;GB;GB;L
2021;FT;Data Scientist;115000;115000;US;US;L
2021;FT;Data Scientist;90000;90000;US;US;S
2021;FT;Data Scientist;2100000;28399;IN;IN;M
2021;FT;Data Analyst;93000;93000;US;US;L
2021;FT;Data Engineer;200000;200000;US;US;L
2021;FT;Data Scientist;130000;130000;US;US;L
2021;FT;Data Analyst;54000;63831;DE;DE;L
2021;FT;Data Scientist;1250000;16904;IN;IN;S
2021;FT;Data Scientist;21600;25532;RS;DE;S
2021;FT;Data Engineer;93150;93150;US;US;M
2021;FT;Data Engineer;111775;111775;US;US;M
2021;FT;Data Engineer;250000;28016;TR;TR;M
2021;FT;Data Engineer;55000;65013;DE;DE;M
2021;FT;Data Engineer;72500;72500;US;US;L
2021;FT;Data Scientist;65720;77684;FR;FR;M
2021;FT;Data Scientist;100000;100000;US;US;M
2021;FT;Data Scientist;58000;58000;US;US;L
2021;FT;Data Scientist;180000;20171;TR;TR;L
2021;FT;Data Engineer;112000;112000;US;US;L
2021;PT;Data Engineer;59000;69741;NL;NL;L
2021;FT;Data Scientist;109000;109000;US;US;L
2022;FT;Data Engineer;135000;135000;US;US;M
2022;FT;Data Analyst;155000;155000;US;US;M
2022;FT;Data Analyst;120600;120600;US;US;M
2022;FT;Data Scientist;130000;130000;US;US;M
2022;FT;Data Scientist;90000;90000;US;US;M
2022;FT;Data Engineer;170000;170000;US;US;M
2022;FT;Data Engineer;150000;150000;US;US;M
2022;FT;Data Analyst;102100;102100;US;US;M
2022;FT;Data Analyst;84900;84900;US;US;M
2022;FT;Data Scientist;136620;136620;US;US;M
2022;FT;Data Scientist;99360;99360;US;US;M
2022;FT;Data Scientist;90000;117789;GB;GB;M
2022;FT;Data Scientist;80000;104702;GB;GB;M
2022;FT;Data Scientist;146000;146000;US;US;M
2022;FT;Data Scientist;123000;123000;US;US;M
2022;FT;Data Engineer;40000;52351;GB;GB;M
2022;FT;Data Analyst;99000;99000;US;US;M
2022;FT;Data Analyst;116000;116000;US;US;M
2022;FT;Data Analyst;106260;106260;US;US;M
2022;FT;Data Analyst;126500;126500;US;US;M
2022;FT;Data Engineer;242000;242000;US;US;M
2022;FT;Data Engineer;200000;200000;US;US;M
2022;FT;Data Scientist;50000;65438;GB;GB;M
2022;FT;Data Scientist;30000;39263;GB;GB;M
2022;FT;Data Engineer;60000;78526;GB;GB;M
2022;FT;Data Engineer;40000;52351;GB;GB;M
2022;FT;Data Scientist;165220;165220;US;US;M
2022;FT;Data Engineer;35000;45807;GB;GB;M
2022;FT;Data Scientist;120160;120160;US;US;M
2022;FT;Data Analyst;90320;90320;US;US;M
2022;FT;Data Engineer;181940;181940;US;US;M
2022;FT;Data Engineer;132320;132320;US;US;M
2022;FT;Data Engineer;220110;220110;US;US;M
2022;FT;Data Engineer;160080;160080;US;US;M
2022;FT;Data Scientist;180000;180000;US;US;L
2022;FT;Data Scientist;120000;120000;US;US;L
2022;FT;Data Analyst;124190;124190;US;US;M
2022;FT;Data Analyst;130000;130000;US;US;M
2022;FT;Data Analyst;110000;110000;US;US;M
2022;FT;Data Analyst;170000;170000;US;US;M
2022;FT;Data Analyst;115500;115500;US;US;M
2022;FT;Data Analyst;112900;112900;US;US;M
2022;FT;Data Analyst;90320;90320;US;US;M
2022;FT;Data Analyst;112900;112900;US;US;M
2022;FT;Data Analyst;90320;90320;US;US;M
2022;FT;Data Engineer;165400;165400;US;US;M
2022;FT;Data Engineer;132320;132320;US;US;M
2022;FT;Data Analyst;167000;167000;US;US;M
2022;FT;Data Engineer;243900;243900;US;US;M
2022;FT;Data Analyst;136600;136600;US;US;M
2022;FT;Data Analyst;109280;109280;US;US;M
2022;FT;Data Engineer;128875;128875;US;US;M
2022;FT;Data Engineer;93700;93700;US;US;M
2022;FT;Head of Data Science;224000;224000;US;US;M
2022;FT;Head of Data Science;167875;167875;US;US;M
2022;FT;Data Engineer;156600;156600;US;US;M
2022;FT;Data Engineer;108800;108800;US;US;M
2022;FT;Data Scientist;95550;95550;US;US;M
2022;FT;Data Engineer;113000;113000;US;US;L
2022;FT;Data Analyst;135000;135000;US;US;M
2022;FT;Data Scientist;167000;167000;US;US;M
2022;FT;Data Scientist;123000;123000;US;US;M
2022;FT;Data Engineer;60000;78526;GB;GB;M
2022;FT;Data Engineer;50000;65438;GB;GB;M
2022;FT;Data Scientist;150000;150000;US;US;M
2022;FT;Data Scientist;211500;211500;US;US;M
2022;FT;Data Analyst;130000;130000;CA;CA;M
2022;FT;Data Analyst;61300;61300;CA;CA;M
2022;FT;Data Analyst;130000;130000;CA;CA;M
2022;FT;Data Analyst;61300;61300;CA;CA;M
2022;FT;Data Engineer;160000;160000;US;US;L
2022;FT;Data Scientist;138600;138600;US;US;M
2022;FT;Data Engineer;136000;136000;US;US;M
2022;FT;Data Analyst;58000;58000;US;US;S
2022;FT;Data Scientist;170000;170000;US;US;M
2022;FT;Data Scientist;123000;123000;US;US;M
2022;FT;Data Analyst;132000;132000;US;US;M
2022;FT;Data Engineer;165400;165400;US;US;M
2022;FT;Data Engineer;136994;136994;US;US;M
2022;FT;Data Engineer;101570;101570;US;US;M
2022;FT;Data Analyst;128875;128875;US;US;M
2022;FT;Data Analyst;93700;93700;US;US;M
2022;FT;Head of Machine Learning;6000000;79039;IN;IN;L
2022;FT;Data Engineer;132320;132320;US;US;M
2022;FT;Data Analyst;164000;164000;US;US;M
2022;FT;Data Engineer;155000;155000;US;US;M
2022;FT;Data Analyst;112900;112900;US;US;M
2022;FT;Data Analyst;90320;90320;US;US;M
2022;FT;Data Analytics Manager;145000;145000;US;US;M
2022;FT;Data Analytics Manager;105400;105400;US;US;M
2022;FT;Data Engineer;90000;117789;GB;GB;M
2022;FT;Data Scientist;215300;215300;US;US;L
2022;FT;Data Scientist;158200;158200;US;US;L
2022;FT;Data Engineer;209100;209100;US;US;L
2022;FT;Data Engineer;154600;154600;US;US;L
2022;FT;Data Analyst;115934;115934;US;US;M
2022;FT;Data Analyst;81666;81666;US;US;M
2022;FT;Data Engineer;175000;175000;US;US;M
2022;FT;Data Engineer;75000;98158;GB;GB;M
2022;FT;Data Analyst;58000;58000;US;US;S
2022;FT;Data Engineer;183600;183600;US;US;L
2022;FT;Data Analyst;40000;52351;GB;GB;M
2022;FT;Data Scientist;180000;180000;US;US;M
2022;FT;Data Scientist;55000;71982;GB;GB;M
2022;FT;Data Scientist;35000;45807;GB;GB;M
2022;FT;Data Engineer;60000;65949;GR;GR;M
2022;FT;Data Engineer;45000;49461;GR;GR;M
2022;FT;Data Engineer;60000;78526;GB;GB;M
2022;FT;Data Engineer;45000;58894;GB;GB;M
2022;FT;Data Scientist;260000;260000;US;US;M
2022;FT;Data Science Engineer;60000;60000;AR;MX;L
2022;FT;Data Engineer;63900;63900;US;US;M
2022;FT;Data Scientist;180000;180000;US;US;M
2022;FT;Data Scientist;80000;80000;US;US;M
2022;FT;Data Engineer;82900;82900;US;US;M
2022;FT;Data Engineer;100800;100800;US;US;L
2022;FT;Data Engineer;45000;49461;ES;ES;M
2022;FT;Data Scientist;140400;140400;US;US;L
2022;FT;Data Analyst;30000;39263;GB;GB;M
2022;FT;Data Analyst;40000;43966;ES;ES;M
2022;FT;Data Analyst;30000;32974;ES;ES;M
2022;FT;Data Engineer;80000;87932;ES;ES;M
2022;FT;Data Engineer;70000;76940;ES;ES;M
2022;FT;Data Engineer;80000;104702;GB;GB;M
2022;FT;Data Engineer;70000;91614;GB;GB;M
2022;FT;Data Engineer;60000;65949;ES;ES;M
2022;FT;Data Engineer;80000;87932;GR;GR;M
2022;FT;Data Analyst;40000;43966;GR;GR;M
2022;FT;Data Analyst;30000;32974;GR;GR;M
2022;FT;Data Engineer;75000;98158;GB;GB;M
2022;FT;Data Engineer;60000;78526;GB;GB;M
2022;FT;Data Scientist;215300;215300;US;US;L
2022;FT;Data Engineer;70000;76940;GR;GR;M
2022;FT;Data Engineer;209100;209100;US;US;L
2022;FT;Data Engineer;154600;154600;US;US;L
2022;FT;Data Engineer;180000;180000;US;US;M
2022;FT;Data Engineer;80000;80000;US;US;M
2022;FT;Machine Learning Developer;100000;78791;CA;CA;M
2022;FT;NLP Engineer;240000;37236;US;US;L
2022;FT;Data Engineer;105000;105000;US;US;M
2022;FT;Data Scientist;2400000;31615;IN;IN;L
2022;PT;Data Engineer;50000;54957;DE;DE;L
2022;FT;Data Scientist;1400000;18442;IN;IN;M
2022;FT;Data Engineer;120000;120000;US;US;M
2022;FT;Data Scientist;104890;104890;US;US;M
2022;FT;Data Engineer;100000;100000;US;US;M
2022;FT;Data Scientist;140000;140000;US;US;M
2022;FT;Data Analyst;135000;135000;US;US;M
2022;FT;Data Analyst;50000;50000;US;US;M
2022;FT;Data Scientist;220000;220000;US;US;M
2022;FT;Data Scientist;140000;140000;US;US;M
2022;FT;Data Scientist;140000;183228;GB;GB;M
2022;FT;Data Scientist;70000;91614;GB;GB;M
2022;FT;Data Scientist;185100;185100;US;US;M
2022;FT;Data Scientist;200000;200000;US;US;M
2022;FT;Data Scientist;120000;120000;US;US;M
2022;FT;Data Engineer;324000;324000;US;US;M
2022;FT;Data Engineer;216000;216000;US;US;M
2022;FT;Data Engineer;210000;210000;US;US;M
2022;FT;Data Scientist;230000;230000;US;US;M
2022;PT;Data Scientist;100000;100000;DZ;DZ;M
2022;FL;Data Scientist;100000;100000;CA;US;M
2022;FT;Data Scientist;150000;35590;PL;PL;L
2022;FT;Machine Learning Developer;100000;78791;CA;CA;M
2022;FT;Data Scientist;100000;100000;BR;US;M
2022;FT;Data Engineer;52800;58035;PK;DE;M
2022;FT;Data Scientist;165000;165000;US;US;M
2022;FT;Data Scientist;66500;52396;CA;CA;L
2022;FT;Data Scientist;40000;40000;JP;MY;L
2022;FT;Data Engineer;115000;115000;US;US;M
2022;FT;Data Scientist;120000;86703;AU;AU;M
2022;FT;Data Engineer;65000;65000;US;US;S
2022;FT;Data Analytics Engineer;20000;20000;PK;PK;M
2022;FT;Data Scientist;48000;48000;RU;US;S
2022;FT;Data Engineer;62000;68147;FR;FR;M
2022;FT;Data Scientist;115000;122346;CH;CH;L
2022;FT;Data Scientist;88000;69336;CA;CA;M
2022;FT;Data Analyst;20000;20000;GR;GR;S
2022;FT;Data Analytics Lead;405000;405000;US;US;L
2022;FT;Data Scientist;135000;135000;US;US;L
2022;FT;Data Scientist;78000;78000;US;US;M
2022;FT;Data Analyst;135000;135000;US;US;M
2022;FT;Data Analyst;100000;100000;US;US;M
2022;FT;Data Analyst;90320;90320;US;US;M
2022;FT;Data Analyst;85000;85000;CA;CA;M
2022;FT;Data Analyst;75000;75000;CA;CA;M
2022;FT;Data Analyst;112900;112900;US;US;M
2022;FT;Data Engineer;155000;155000;US;US;M
2022;FT;Data Scientist;141300;141300;US;US;M
2022;FT;Data Scientist;102100;102100;US;US;M
2022;FT;Data Analyst;115934;115934;US;US;M
2022;FT;Data Analyst;81666;81666;US;US;M
2022;FT;Data Engineer;206699;206699;US;US;M
2022;FT;Data Engineer;99100;99100;US;US;M
2022;FT;Data Engineer;130000;130000;US;US;M
2022;FT;Data Engineer;115000;115000;US;US;M
2022;FT;Data Engineer;110500;110500;US;US;M
2022;FT;Data Engineer;130000;130000;US;US;M
2022;FT;Data Analyst;99050;99050;US;US;M
2022;FT;Data Engineer;160000;160000;US;US;M
2022;FT;Data Scientist;205300;205300;US;US;L
2022;FT;Data Scientist;140400;140400;US;US;L
2022;FT;Data Scientist;176000;176000;US;US;M
2022;FT;Data Scientist;144000;144000;US;US;M
2022;FT;Data Engineer;200100;200100;US;US;M
2022;FT;Data Engineer;160000;160000;US;US;M
2022;FT;Data Engineer;145000;145000;US;US;M
2022;FT;Data Engineer;70500;70500;US;US;M
2022;FT;Data Scientist;205300;205300;US;US;M
2022;FT;Data Scientist;140400;140400;US;US;M
2022;FT;Data Engineer;175100;175100;US;US;M
2022;FT;Data Engineer;140250;140250;US;US;M
2022;FT;Data Analyst;116150;116150;US;US;M
2022;FT;Data Engineer;54000;54000;US;US;M
2022;FT;Data Analyst;170000;170000;US;US;M
2022;FT;Data Analyst;50000;65438;GB;GB;M
2022;FT;Data Analyst;80000;80000;US;US;M
2022;FT;Data Scientist;140000;140000;US;US;M
2022;FT;Data Scientist;210000;210000;US;US;M
2022;FT;Data Scientist;140000;140000;US;US;M
2022;FT;Data Analyst;100000;100000;US;US;M
2022;FT;Data Analyst;69000;69000;US;US;M
2022;FT;Data Scientist;;210000;US;US;M
2022;FT;Data Scientist;140000;140000;US;US;M
2022;FT;Data Scientist;;210000;US;US;M
2022;FT;Data Analyst;150075;150075;US;US;M
2022;FT;Data Engineer;100000;100000;US;US;M
2022;FT;Data Engineer;25000;25000;US;US;M
2022;FT;Data Analyst;126500;126500;US;US;M
2022;FT;Data Analyst;106260;106260;US;US;M
2022;FT;Data Engineer;220110;220110;US;US;M
2022;FT;Data Engineer;160080;160080;US;US;M
2022;FT;Data Analyst;105000;105000;US;US;M
2022;FT;Data Analyst;;110925;US;US;M
2022;FT;Data Analyst;35000;45807;GB;GB;M
2022;FT;DataScientist;140000;140000;US;US;M
2022;FT;Data Analyst;99000;99000;US;US;M
2022;FT;Data Analyst;60000;60000;US;US;M
2022;FT;Data Scientist;230000;230000;US;US;M
2022;FT;Data Scientist;150000;150000;US;US;M
2022;FT;Data Analytics Manager;150260;150260;US;US;M
2022;FT;Data AnalyticsManager;109280;109280;US;US;M
2022;FT;Data Scientist;210000;210000.0;US;US;M
2022;FT;Data Analyst;170000;170000;US;US;M
2022;FT;Data Scientist;160000;160000;US;US;M
2022;FT;DataScientist;130000;130000;US;US;M
2022;FT;Data Analyst;67000;67000;CA;CA;M
2022;FT;Data Analyst;52000;52000;CA;CA;M
2022;FT;Data Engineer;154000;154000;US;US;M
2022;FT;Data Engineer;126000;126000;US;US;M
2022;FT;Data Analyst;129000;129000;US;US;M
2022;FT;Data Analyst;150000;150000;US;US;M
2022;FT;Data Analyst;67000;67000;CA;CA;M
2022;FT;Data Analytics Manager;150260;150260;US;US;M
